epoch:7,step:16,loss:0.249
epoch:7,step:17,loss:0.252
epoch:7,step:18,loss:0.231
epoch:7,step:19,loss:0.239
epoch:7,step:20,loss:0.228
epoch:7,step:21,loss:0.233
epoch:7,step:22,loss:0.224
epoch:7,step:23,loss:0.241
epoch:7,step:24,loss:0.240
epoch:7,step:25,loss:0.232
epoch:7,step:26,loss:0.219
epoch:7,step:27,loss:0.248
epoch:7,step:28,loss:0.252
epoch:7,step:29,loss:0.223
epoch:7,step:30,loss:0.245
epoch:7,step:31,loss:0.224
epoch:7,step:32,loss:0.223
epoch:7,step:33,loss:0.232
epoch:7,step:34,loss:0.250
epoch:7,step:35,loss:0.231
epoch:7,step:36,loss:0.239
epoch:7,step:37,loss:0.223
epoch:7,step:38,loss:0.232
epoch:7,step:39,loss:0.217
benchmark epoch:7,accuracy:27.800
epoch:8,step:0,loss:0.373
epoch:8,step:1,loss:0.262
epoch:8,step:2,loss:0.232
epoch:8,step:3,loss:0.238
epoch:8,step:4,loss:0.236
epoch:8,step:5,loss:0.223
epoch:8,step:6,loss:0.221
epoch:8,step:7,loss:0.229
epoch:8,step:8,loss:0.252
epoch:8,step:9,loss:0.221
epoch:8,step:10,loss:0.247
epoch:8,step:11,loss:0.221
epoch:8,step:12,loss:0.225
epoch:8,step:13,loss:0.254
epoch:8,step:14,loss:0.223
epoch:8,step:15,loss:0.219
epoch:8,step:16,loss:0.210
epoch:8,step:17,loss:0.236
epoch:8,step:18,loss:0.248
epoch:8,step:19,loss:0.221
epoch:8,step:20,loss:0.213
epoch:8,step:21,loss:0.216
epoch:8,step:22,loss:0.223
epoch:8,step:23,loss:0.219
epoch:8,step:24,loss:0.218
epoch:8,step:25,loss:0.231
epoch:8,step:26,loss:0.219
epoch:8,step:27,loss:0.229
epoch:8,step:28,loss:0.245
epoch:8,step:29,loss:0.247
epoch:8,step:30,loss:0.219
epoch:8,step:31,loss:0.231
epoch:8,step:32,loss:0.219
epoch:8,step:33,loss:0.201
epoch:8,step:34,loss:0.211
epoch:8,step:35,loss:0.234
epoch:8,step:36,loss:0.246
epoch:8,step:37,loss:0.211
epoch:8,step:38,loss:0.220
epoch:8,step:39,loss:0.270
benchmark epoch:8,accuracy:19.800
epoch:9,step:0,loss:0.364
epoch:9,step:1,loss:0.239
epoch:9,step:2,loss:0.245
epoch:9,step:3,loss:0.243
epoch:9,step:4,loss:0.253
epoch:9,step:5,loss:0.246
epoch:9,step:6,loss:0.217
epoch:9,step:7,loss:0.227
epoch:9,step:8,loss:0.227
epoch:9,step:9,loss:0.202
epoch:9,step:10,loss:0.229
epoch:9,step:11,loss:0.200
epoch:9,step:12,loss:0.210
epoch:9,step:13,loss:0.206
epoch:9,step:14,loss:0.233
epoch:9,step:15,loss:0.191
epoch:9,step:16,loss:0.228
epoch:9,step:17,loss:0.221
epoch:9,step:18,loss:0.218
epoch:9,step:19,loss:0.212
epoch:9,step:20,loss:0.238
epoch:9,step:21,loss:0.205
epoch:9,step:22,loss:0.216
epoch:9,step:23,loss:0.226
epoch:9,step:24,loss:0.252
epoch:9,step:25,loss:0.219
epoch:9,step:26,loss:0.212
epoch:9,step:27,loss:0.222
epoch:9,step:28,loss:0.233
epoch:9,step:29,loss:0.214
epoch:9,step:30,loss:0.226
epoch:9,step:31,loss:0.211
epoch:9,step:32,loss:0.220
epoch:9,step:33,loss:0.220
epoch:9,step:34,loss:0.212
epoch:9,step:35,loss:0.215
epoch:9,step:36,loss:0.207
epoch:9,step:37,loss:0.219
epoch:9,step:38,loss:0.213
epoch:9,step:39,loss:0.185
benchmark epoch:9,accuracy:15.100
epoch:10,step:0,loss:0.446
epoch:10,step:1,loss:0.272
epoch:10,step:2,loss:0.257
epoch:10,step:3,loss:0.251
epoch:10,step:4,loss:0.260
epoch:10,step:5,loss:0.235
epoch:10,step:6,loss:0.238
epoch:10,step:7,loss:0.235
epoch:10,step:8,loss:0.218
epoch:10,step:9,loss:0.232
epoch:10,step:10,loss:0.201
epoch:10,step:11,loss:0.232
epoch:10,step:12,loss:0.226
epoch:10,step:13,loss:0.232
epoch:10,step:14,loss:0.252
epoch:10,step:15,loss:0.212
epoch:10,step:16,loss:0.206
epoch:10,step:17,loss:0.233
epoch:10,step:18,loss:0.205
epoch:10,step:19,loss:0.226
epoch:10,step:20,loss:0.212
epoch:10,step:21,loss:0.223
epoch:10,step:22,loss:0.197
epoch:10,step:23,loss:0.210
epoch:10,step:24,loss:0.202
epoch:10,step:25,loss:0.254
epoch:10,step:26,loss:0.203
epoch:10,step:27,loss:0.201
epoch:10,step:28,loss:0.247
epoch:10,step:29,loss:0.213
epoch:10,step:30,loss:0.237
epoch:10,step:31,loss:0.230
epoch:10,step:32,loss:0.227
epoch:10,step:33,loss:0.229
epoch:10,step:34,loss:0.194
epoch:10,step:35,loss:0.207
epoch:10,step:36,loss:0.199
epoch:10,step:37,loss:0.212
epoch:10,step:38,loss:0.227
epoch:10,step:39,loss:0.289
benchmark epoch:10,accuracy:15.100
epoch:11,step:0,loss:0.385
epoch:11,step:1,loss:0.254
epoch:11,step:2,loss:0.302
epoch:11,step:3,loss:0.259
epoch:11,step:4,loss:0.258
epoch:11,step:5,loss:0.213
epoch:11,step:6,loss:0.211
epoch:11,step:7,loss:0.223
epoch:11,step:8,loss:0.222
epoch:11,step:9,loss:0.205
epoch:11,step:10,loss:0.225
epoch:11,step:11,loss:0.211
epoch:11,step:12,loss:0.206
epoch:11,step:13,loss:0.235
epoch:11,step:14,loss:0.233
epoch:11,step:15,loss:0.223
epoch:11,step:16,loss:0.237
epoch:11,step:17,loss:0.214
epoch:11,step:18,loss:0.225
epoch:11,step:19,loss:0.209
epoch:11,step:20,loss:0.218
epoch:11,step:21,loss:0.210
epoch:11,step:22,loss:0.203
epoch:11,step:23,loss:0.241
epoch:11,step:24,loss:0.231
epoch:11,step:25,loss:0.200
epoch:11,step:26,loss:0.209
epoch:11,step:27,loss:0.208
epoch:11,step:28,loss:0.207
epoch:11,step:29,loss:0.211
epoch:11,step:30,loss:0.234
epoch:11,step:31,loss:0.211
epoch:11,step:32,loss:0.219
epoch:11,step:33,loss:0.214
epoch:11,step:34,loss:0.211
epoch:11,step:35,loss:0.198
epoch:11,step:36,loss:0.209
epoch:11,step:37,loss:0.206
epoch:11,step:38,loss:0.215
epoch:11,step:39,loss:0.347
benchmark epoch:11,accuracy:17.300
epoch:12,step:0,loss:0.646
epoch:12,step:1,loss:0.267
epoch:12,step:2,loss:0.249
epoch:12,step:3,loss:0.220
epoch:12,step:4,loss:0.224
epoch:12,step:5,loss:0.208
epoch:12,step:6,loss:0.199
epoch:12,step:7,loss:0.207
epoch:12,step:8,loss:0.187
epoch:12,step:9,loss:0.208
epoch:12,step:10,loss:0.222
epoch:12,step:11,loss:0.193
epoch:12,step:12,loss:0.208
epoch:12,step:13,loss:0.216
epoch:12,step:14,loss:0.232
epoch:12,step:15,loss:0.176
epoch:12,step:16,loss:0.179
epoch:12,step:17,loss:0.211
epoch:12,step:18,loss:0.206
epoch:12,step:19,loss:0.199
epoch:12,step:20,loss:0.223
epoch:12,step:21,loss:0.207
epoch:12,step:22,loss:0.218
epoch:12,step:23,loss:0.223
epoch:12,step:24,loss:0.208
epoch:12,step:25,loss:0.168
epoch:12,step:26,loss:0.193
epoch:12,step:27,loss:0.195
epoch:12,step:28,loss:0.203
epoch:12,step:29,loss:0.184
